node,degree,deg_centrality,betweenness,closeness,eigenvector,clustering,community
ALOKINDS,1,0.009345794392523364,0.0,0.15329512893982808,0.006347501672309339,0,9
AMBER,1,0.009345794392523364,0.0,0.17892976588628762,0.018846522328760624,0,2
AMBUJACEM,2,0.018691588785046728,0.139657908658085,0.18641114982578397,0.020092111047872084,0,7
ANANDRATHI,1,0.009345794392523364,0.0,0.1917562724014337,0.06479266543173977,0,8
ANANTRAJ,9,0.08411214953271028,0.17862810791747488,0.20576923076923076,0.12581513615033277,0,3
ANGELONE,2,0.018691588785046728,0.018691588785046728,0.18074324324324326,0.02629616686076047,0,6
APARINDS,1,0.009345794392523364,0.0,0.17092651757188498,0.03439446494628268,0,3
APLAPOLLO,1,0.009345794392523364,0.0,0.2266949152542373,0.07460457732050987,0,4
APLLTD,1,0.009345794392523364,0.0,0.17092651757188498,0.03439446494628268,0,3
APOLLOHOSP,3,0.02803738317757009,0.0372068418268383,0.18013468013468015,0.0221584487589791,0,2
APOLLOTYRE,2,0.018691588785046728,0.018691588785046728,0.1737012987012987,0.16661135200137817,0,1
APTUS,1,0.009345794392523364,0.0,0.16666666666666666,0.015773716335357284,0,0
ASAHIINDIA,1,0.009345794392523364,0.0,0.17092651757188498,0.03439446494628268,0,3
ASHOKLEY,2,0.018691588785046728,0.03703050608358314,0.18838028169014084,0.02415029096338366,0,4
ASIANPAINT,4,0.037383177570093455,0.05554575912537471,0.17483660130718953,0.19871063025170557,0,1
ASTERDM,1,0.009345794392523364,0.0,0.10056390977443609,5.185319749895904e-05,0,7
ASTRAL,1,0.009345794392523364,0.0,0.17892976588628762,0.018846522328760624,0,2
ASTRAZEN,1,0.009345794392523364,0.0,0.17656765676567657,0.015243591104982905,0,8
ATGL,3,0.02803738317757009,0.05536942338211955,0.11169102296450939,0.00018967927291070543,0,7
ATUL,2,0.018691588785046728,0.018691588785046728,0.1737012987012987,0.1666113520013782,0,1
AUBANK,1,0.009345794392523364,0.0,0.17483660130718953,0.01384225072143056,0,9
AUROPHARMA,2,0.018691588785046728,0.018691588785046728,0.13209876543209875,0.019348131016202388,0,5
AWL,1,0.009345794392523364,0.0,0.1235565819861432,0.0005341000733506635,0,7
AXISBANK,1,0.009345794392523364,0.0,0.2106299212598425,0.04685092892304896,0,9
BAJAJ-AUTO,1,0.009345794392523364,0.0,0.1917562724014337,0.06479266543173977,0,8
BAJAJFINSV,3,0.02803738317757009,0.0372068418268383,0.18135593220338983,0.02860669844107976,0,6
BAJAJHLDNG,1,0.009345794392523364,0.0,0.15373563218390804,0.007820299821358187,0,6
BAJFINANCE,1,0.009345794392523364,0.0,0.15373563218390804,0.007820299821358187,0,6
BALKRISIND,1,0.009345794392523364,0.0,0.1481994459833795,0.045547050072075414,0,1
BALRAMCHIN,1,0.009345794392523364,0.0,0.18013468013468015,0.02433098033107849,0,6
BANDHANBNK,2,0.018691588785046728,0.018691588785046728,0.21146245059288538,0.050635026940055575,0,9
BANKBARODA,7,0.06542056074766354,0.5219538000352671,0.26616915422885573,0.17138094778997306,0,9
BANKINDIA,2,0.018691588785046728,0.10685946041262563,0.2157258064516129,0.05319843059535825,0,9
BASF,2,0.018691588785046728,0.018691588785046728,0.1737012987012987,0.16661135200137825,0,1
BATAINDIA,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
BAYERCROP,1,0.009345794392523364,0.0,0.1481994459833795,0.04554705007207542,0,1
BDL,2,0.018691588785046728,0.03703050608358314,0.22863247863247863,0.08115976206846749,0,4
BEL,9,0.08411214953271028,0.7293246341033327,0.2923497267759563,0.27290394159867354,0,4
BEML,3,0.02803738317757009,0.0372068418268383,0.22863247863247863,0.08771494681642526,0,4
BERGEPAINT,1,0.009345794392523364,0.0,0.149025069637883,0.05432212701721091,0,1
BHARATFORG,2,0.018691588785046728,0.05501675189560924,0.2296137339055794,0.08120661552829841,0,4
BHEL,7,0.06542056074766354,0.31458296596720153,0.2465437788018433,0.17952071302636938,0,0
BLS,1,0.009345794392523364,0.0,0.18135593220338983,0.01844456250804119,0,7
BSE,1,0.009345794392523364,0.0,0.15329512893982808,0.007188662803125222,0,6
DMART,1,0.009345794392523364,0.0,0.149025069637883,0.05432212701721091,0,1
MAHABANK,6,0.05607476635514018,0.09169458649268207,0.18074324324324326,0.02321919495951821,0,9
ENGINERSIN,3,0.02803738317757009,0.0372068418268383,0.19962686567164178,0.05770033845356251,0,0
ERIS,1,0.009345794392523364,0.0,0.16614906832298137,0.014499690609987142,0,0
ESCORTS,2,0.018691588785046728,0.018691588785046728,0.15922619047619047,0.007135277574959558,0,4
ETERNAL,2,0.018691588785046728,0.018691588785046728,0.18074324324324326,0.026296166860760486,0,6
EXIDEIND,4,0.037383177570093455,0.3800035267148651,0.23672566371681417,0.23701191559656226,0,8
FACT,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
FEDERALBNK,1,0.009345794392523364,0.0,0.2106299212598425,0.04685092892304896,0,9
FINCABLES,1,0.009345794392523364,0.0,0.15329512893982808,0.006347501672309339,0,9
FINPIPE,1,0.009345794392523364,0.0,0.18641114982578397,0.023978900757519198,0,4
FIVESTAR,1,0.009345794392523364,0.0,0.18013468013468015,0.02433098033107849,0,6
FLUOROCHEM,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
FORCEMOT,1,0.009345794392523364,0.0,0.15329512893982808,0.006347501672309339,0,9
FORTIS,1,0.009345794392523364,0.0,0.15285714285714286,0.006057522269769396,0,2
FSL,1,0.009345794392523364,0.0,0.17092651757188498,0.03439446494628268,0,3
GAIL,4,0.037383177570093455,0.5080232763181096,0.26884422110552764,0.1734873561859932,0,8
GESHIP,1,0.009345794392523364,0.0,0.2266949152542373,0.07460457732050987,0,4
GICRE,1,0.009345794392523364,0.0,0.15329512893982808,0.006347501672309339,0,9
GILLETTE,1,0.009345794392523364,0.0,0.17092651757188498,0.03439446494628268,0,3
GLAND,1,0.009345794392523364,0.0,0.1502808988764045,0.05530307590161783,0,5
GLAXO,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
GLENMARK,3,0.02803738317757009,0.05536942338211955,0.15155807365439095,0.06548630921924642,0,5
GMDCLTD,1,0.009345794392523364,0.0,0.18641114982578397,0.023978900757519198,0,4
GMRAIRPORT,1,0.009345794392523364,0.0,0.19814814814814816,0.0490761212064293,0,0
GODFRYPHLP,1,0.009345794392523364,0.0,0.18135593220338983,0.01844456250804119,0,7
GODREJAGRO,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
GODREJCP,1,0.009345794392523364,0.0,0.149025069637883,0.05432212701721091,0,1
GODREJIND,1,0.009345794392523364,0.0,0.17892976588628762,0.018846522328760624,0,2
GODREJPROP,5,0.04672897196261682,0.10897548933168753,0.21747967479674796,0.06894067916034174,0,2
GPIL,1,0.009345794392523364,0.0,0.14657534246575343,0.010161950214431609,0,3
GRANULES,4,0.037383177570093455,0.10844648210192205,0.17656765676567657,0.2022989465008732,0,5
GRAPHITE,1,0.009345794392523364,0.0,0.19814814814814816,0.049076121206429305,0,0
GRASIM,1,0.009345794392523364,0.0,0.18135593220338983,0.01844456250804119,0,7
GRAVITA,2,0.018691588785046728,0.018691588785046728,0.17147435897435898,0.03717246806363823,0,3
GRSE,2,0.018691588785046728,0.018691588785046728,0.18706293706293706,0.023978900757519184,0,4
GSPL,1,0.009345794392523364,0.0,0.17656765676567657,0.015243591104982902,0,8
GUJGASLTD,3,0.02803738317757009,0.0372068418268383,0.214,0.055761137534448155,0,8
GVT&D,1,0.009345794392523364,0.0,0.17092651757188498,0.034394464946282684,0,3
MEDANTA,1,0.009345794392523364,0.0,0.15285714285714286,0.006057522269769396,0,2
NYKAA,1,0.009345794392523364,0.0,0.15329512893982808,0.007188662803125238,0,6
